sub_category,product_id,cost_price,list_price,quantity,discount_percent,profit,discount,sales_price
Bookcases,FUR-BO-10001798,240,260,2,2,24.0,24.0,288.0
Chairs,FUR-CH-10000454,600,730,3,3,60.0,60.0,720.0
Labels,OFF-LA-10000240,10,10,2,5,1.0,1.0,12.0
Tables,FUR-TA-10000577,780,960,5,2,78.0,78.0,936.0
Storage,OFF-ST-10000760,20,20,2,5,2.0,2.0,24.0
Furnishings,FUR-FU-10001487,50,50,7,3,5.0,5.0,60.0
Art,OFF-AR-10002833,10,10,4,3,1.0,1.0,12.0
Phones,TEC-PH-10002275,860,910,6,5,86.0,86.0,1032.0
Binders,OFF-BI-10003910,20,20,3,2,2.0,2.0,24.0
Appliances,OFF-AP-10002892,90,110,5,3,9.0,9.0,108.0
Tables,FUR-TA-10001539,1470,1710,9,3,147.0,147.0,1764.0
Phones,TEC-PH-10002033,750,910,4,3,75.0,75.0,900.0
Paper,OFF-PA-10002365,20,20,3,3,2.0,2.0,24.0
Binders,OFF-BI-10003656,360,410,3,2,36.0,36.0,432.0
Appliances,OFF-AP-10002311,60,70,5,5,6.0,6.0,72.0
Binders,OFF-BI-10000756,0,0,3,5,0.0,0.0,0.0
Storage,OFF-ST-10004186,610,670,6,3,61.0,61.0,732.0
Storage,OFF-ST-10000107,60,60,2,4,6.0,6.0,72.0
Art,OFF-AR-10003056,10,10,2,4,1.0,1.0,12.0
Phones,TEC-PH-10001949,170,210,3,3,17.0,17.0,204.0
Binders,OFF-BI-10002215,20,20,4,2,2.0,2.0,24.0
Art,OFF-AR-10000246,20,20,7,4,2.0,2.0,24.0
Appliances,OFF-AP-10001492,50,60,7,3,5.0,5.0,60.0
Chairs,FUR-CH-10002774,60,70,2,4,6.0,6.0,72.0
Tables,FUR-TA-10000577,900,1040,3,5,90.0,90.0,1080.0
Binders,OFF-BI-10001634,10,10,2,5,1.0,1.0,12.0
Accessories,TEC-AC-10003027,80,90,3,3,8.0,8.0,96.0
Bookcases,FUR-BO-10004834,2740,3080,7,3,274.0,274.0,3288.0
Binders,OFF-BI-10000474,10,10,2,5,1.0,1.0,12.0
Furnishings,FUR-FU-10004848,100,120,3,4,10.0,10.0,120.0
Envelopes,OFF-EN-10001509,0,0,2,5,0.0,0.0,0.0
Art,OFF-AR-10004042,70,90,6,4,7.0,7.0,84.0
Binders,OFF-BI-10001525,10,10,6,5,1.0,1.0,12.0
Art,OFF-AR-10001683,20,20,2,4,2.0,2.0,24.0
Paper,OFF-PA-10000249,30,30,3,3,3.0,3.0,36.0
Phones,TEC-PH-10004977,1020,1100,7,5,102.0,102.0,1224.0
Furnishings,FUR-FU-10003664,180,190,5,4,18.0,18.0,216.0
Envelopes,OFF-EN-10002986,90,110,9,2,9.0,9.0,108.0
Bookcases,FUR-BO-10002545,460,530,3,2,46.0,46.0,552.0
Chairs,FUR-CH-10004218,200,210,3,2,20.0,20.0,240.0
Phones,TEC-PH-10000486,350,370,4,5,35.0,35.0,420.0
Phones,TEC-PH-10004093,140,150,4,3,14.0,14.0,168.0
Storage,OFF-ST-10003479,70,80,2,5,7.0,7.0,84.0
Storage,OFF-ST-10003282,90,100,2,4,9.0,9.0,108.0
Accessories,TEC-AC-10000171,40,50,2,2,4.0,4.0,48.0
Binders,OFF-BI-10003291,20,20,2,5,2.0,2.0,24.0
Storage,OFF-ST-10001713,180,210,4,4,18.0,18.0,216.0
Accessories,TEC-AC-10002167,50,50,3,5,5.0,5.0,60.0
Phones,TEC-PH-10003988,20,20,2,4,2.0,2.0,24.0
Binders,OFF-BI-10004410,30,40,6,4,3.0,3.0,36.0
Labels,OFF-LA-10002762,70,80,6,4,7.0,7.0,84.0
Furnishings,FUR-FU-10001706,10,10,2,4,1.0,1.0,12.0
Chairs,FUR-CH-10003061,70,90,1,5,7.0,7.0,84.0
Fasteners,OFF-FA-10000304,20,20,7,3,2.0,2.0,24.0
Phones,TEC-PH-10002447,850,1030,5,4,85.0,85.0,1020.0
Storage,OFF-ST-10000604,200,210,6,5,20.0,20.0,240.0
Paper,OFF-PA-10001569,30,30,5,5,3.0,3.0,36.0
Chairs,FUR-CH-10003968,290,320,5,2,29.0,29.0,348.0
Paper,OFF-PA-10000587,10,10,2,4,1.0,1.0,12.0
Accessories,TEC-AC-10002167,20,30,2,5,2.0,2.0,24.0
Binders,OFF-BI-10001460,40,50,4,2,4.0,4.0,48.0
Art,OFF-AR-10001868,0,0,1,5,0.0,0.0,0.0
Accessories,TEC-AC-10004633,10,10,2,3,1.0,1.0,12.0
Binders,OFF-BI-10001078,20,30,6,2,2.0,2.0,24.0
Paper,OFF-PA-10003892,130,150,3,5,13.0,13.0,156.0
Furnishings,FUR-FU-10000397,70,80,4,2,7.0,7.0,84.0
Chairs,FUR-CH-10001146,180,210,5,5,18.0,18.0,216.0
Art,OFF-AR-10002671,940,1110,8,3,94.0,94.0,1128.0
Phones,TEC-PH-10002726,160,170,4,3,16.0,16.0,192.0
Paper,OFF-PA-10000482,70,80,2,2,7.0,7.0,84.0
Binders,OFF-BI-10004654,0,0,1,3,0.0,0.0,0.0
Paper,OFF-PA-10004675,20,20,3,3,2.0,2.0,24.0
Chairs,FUR-CH-10000513,790,830,8,2,79.0,79.0,948.0
Furnishings,FUR-FU-10003708,90,100,2,3,9.0,9.0,108.0
Storage,OFF-ST-10004123,60,70,1,2,6.0,6.0,72.0
Binders,OFF-BI-10004182,0,0,3,4,0.0,0.0,0.0
Furnishings,FUR-FU-10000260,10,10,3,4,1.0,1.0,12.0
Storage,OFF-ST-10000615,20,30,3,2,2.0,2.0,24.0
Furnishings,FUR-FU-10003194,20,20,5,2,2.0,2.0,24.0
Appliances,OFF-AP-10002118,190,210,1,3,19.0,19.0,228.0
Binders,OFF-BI-10002309,20,20,3,2,2.0,2.0,24.0
